Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
18000001,ALCOHOL - DRUNK,2018-01-01T00:09:00,Closed - Non-Criminal Case,2018-01-01T00:09:00,,,VINE ST & N 16TH ST (SIDEWALK),0.00,0.00,Officer contacted an intoxicated female walking near campus. The female was placed into civil protective custody and transported to The Bridge for further care.
18000002,ALCOHOL - DWI,2018-01-01T00:22:00,Closed - Cleared by Arrest-Adult,2018-01-01T00:22:00,,,SALT CREEK RDWY & STADIUM DR (STREET),0.00,0.00,"A vehicle was stopped for a traffic violation. The driver was cited/released for DUI, Possession of Marijuana < 1oz, Possession of Drug Paraphernalia, No Proof of Financial Responsibility, No Tail Lights and One Head Light. The driver was cited/lodged for Possession of a Controlled Substance."
18000016,MEDICAL EMERGENCY,2018-01-02T10:26:00,Closed - Non-Criminal Case,2018-01-02T10:26:00,,Bessey Hall,1215 U St (SIDEWALK),0.00,0.00,University staff member fell and was transported to Bryan West for a leg injury.
18000034,EMBEZZLEMENT,2018-01-03T09:45:00,Closed - Cleared by Arrest-Adult,2017-06-25T13:00:00,2017-12-23T17:00:00,Morrill Hall,"1335 U St (UNL SUPPORT FACILITY (office, service))",0.00,0.00,UPD received the report of a belated embezzlement; investigation is ongoing.
18000035,MISC - OTHER,2018-01-03T15:13:00,Closed - Non-Criminal Case,,,Transportation Services,"1931 N Antelope Valley Pky (UNL SUPPORT FACILITY (office, service))",0.00,0.00,Information report for Transportation Services.
18000038,TRAFFIC - SUSPENDED DRIVER,2018-01-03T18:27:00,Closed - Cleared by Arrest-Adult,,,,Y ST & N 21ST ST (STREET),0.00,0.00,Non affiliate cited for DUS.
18000043,DISTURBANCE - OTHER,2018-01-04T08:55:00,Closed - Non-Criminal Case,2018-01-04T08:55:00,,Willa S. Cather Dining Complex,"530 N 17th St (UNL SUPPORT FACILITY (office, service))",0.00,0.00,UPD responded to a belated disturbance.  No criminal violation apparent; case closed.
18000046,ACCIDENTS - P.D. NOT REPORTABLE,2018-01-04T15:40:00,Closed - Non-Criminal Case,2018-01-04T15:40:00,,,745 N. 14th Street (GOV'T PARKING LOT (UNL)),0.00,500.00,Student reported two vehicle non injury accident.
18000037,OUTSIDE - O.P.S. OTHER,2018-01-04T18:23:00,Closed - Non-Criminal Case,2017-12-30T19:00:00,2017-12-30T23:00:00,,R ST & N 13TH ST (STREET),0.00,0.00,UPD Officers assisted with an LPD call for service.
18000049,ALCOHOL - MINOR IN POSSESSION,2018-01-05T04:39:00,Closed - Cleared by Arrest-Adult,2018-01-05T04:39:00,,Prem S. Paul Research Center at Whittier School,"2200 Vine St (UNL SUPPORT FACILITY (office, service))",0.00,0.00,A non-University affiliate was contacted after it was reported he was screaming near vehicles on campus. He was found to be intoxicated and was placed into civil protective custody. He was transported to The Bridge for a safe detoxification (.178 BAC).
